date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:34	36874/36874	---M-Z	200	added ('OK')	application/javascript	etag:%22900a-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/bootstrap.min.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/bootstrap.min.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:34	409024/409024	---M--	200	added ('OK')	image/jpeg	etag:%2263dc0-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/photo-services-4-1.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-services-4-1.jpg	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:34	20219/20219	---M-Z	200	added ('OK')	application/javascript	etag:%224efb-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/magnific.popup.min.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/magnific.popup.min.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:34	12770/12770	---M-Z	200	added ('OK')	application/javascript	etag:%2231e2-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/imagesloaded.pkgd.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/imagesloaded.pkgd.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:34	40858/40858	---M-Z	200	added ('OK')	application/javascript	etag:%229f9a-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/isotope.pkgd.min.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/isotope.pkgd.min.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:35	41420/41420	---M-Z	200	added ('OK')	application/javascript	etag:%22a1cc-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/owl.carousel.min.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/owl.carousel.min.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:35	3345/3345	---M-Z	200	added ('OK')	application/javascript	etag:%22d11-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/booking.form.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/booking.form.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:35	2403/2403	---M-Z	200	added ('OK')	application/javascript	etag:%22963-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/contact.form.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/contact.form.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:35	25478/25478	---M-Z	200	added ('OK')	application/javascript	etag:%226386-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/gmap3.min.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/gmap3.min.js	(from https://preview.locotheme.com/grandium-html/index.html)
19:03:36	6262/6262	---M-Z	200	added ('OK')	application/javascript	etag:%221876-5394623ff9680-gzip%22	https://preview.locotheme.com/grandium-html/assets/js/custom.js	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/js/custom.js	(from https://preview.locotheme.com/grandium-html/index.html)
